[2023-02-20 13:47:10.096][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 홍익디자인고등학교 발견 
[2023-02-20 13:47:10.097][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 성화중학교 발견 
[2023-02-20 13:47:10.098][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:67] - 양청중학교 발견 
[2023-02-20 13:47:10.098][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 영덕중학교 발견 
[2023-02-20 13:47:10.098][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 문산중학교 발견 
[2023-02-20 13:47:10.098][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 문산중학교 발견 
[2023-02-20 13:47:10.099][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 대전가양중학교 발견 
[2023-02-20 13:47:10.099][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 율현중학교 발견 
[2023-02-20 13:47:10.099][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:67] - 연무중학교 발견 
[2023-02-20 13:47:10.100][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 제물포여자중학교 발견 
[2023-02-20 13:47:10.100][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 율현중학교 발견 
[2023-02-20 13:47:10.100][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 경기국제통상고등학교 발견 
[2023-02-20 13:47:10.100][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 대구여자상업고등학교 발견 
[2023-02-20 13:47:10.100][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 은행중학교 발견 
[2023-02-20 13:47:10.101][WARN ] --- [main] org.example.SchoolFinder[findValidSchool:73] - (WARNING)알수없는 라인

"경기도시흥시군서중저희중좀있으면축제랑체육대회가이틀연속으로있어요ㅠㅠㅜㅜ그거준비하느라너무바쁩니다ㅜㅜㅜㅜ이번에짜장면천그릇온다면정말특별하게준비할수있을꺼같아요"

 
[2023-02-20 13:47:10.101][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 은행중학교 발견 
[2023-02-20 13:47:10.101][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 월봉초등학교 발견 
[2023-02-20 13:47:10.102][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 석우중학교 발견 
[2023-02-20 13:47:10.102][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 활천중학교 발견 
[2023-02-20 13:47:10.102][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 가톨릭대학교 발견 
[2023-02-20 13:47:10.103][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 용원중학교 발견 
[2023-02-20 13:47:10.104][WARN ] --- [main] org.example.SchoolFinder[findValidSchool:73] - (WARNING)알수없는 라인

"서울연희미용고저희학교애들이다전국구라멀리서아침도못먹고첫차타고오는친구들이많아서짜장면먹고힘내고싶어요ㅠㅠ중간고사는끝났지만짜장면먹고기말고사준비열심히하고싶어요저희학교오면로찌고ㅠ졸업하는게기본인데그중에짜장면먹고찌고싶어요힣히히힣ㅎㅎ힘들게학교오면실습시간에서서힘들에파마마는저희에게짜장면주떼욤수수진이이수진원원예진김김유림예예진이승민강강혜원맹맹채빈김김도연김김보은김김미은손손영랑최최하나홍홍도희이홍영"

 
[2023-02-20 13:47:10.104][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 대전전민고등학교 발견 
[2023-02-20 13:47:10.105][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 난우중학교 발견 
[2023-02-20 13:47:10.105][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 석우중학교 발견 
